member,emoji_id,thread_id
KassiuLo,1403623720584613979,1403628773751918643
NajaHorse,1403633586191601726,1403634040443109437
YereFC,1403633577014333461,1403634085196468305
Violeta19,1403633595679113277,1403634404663758849
Kisde,1403633607318437958,1403634710038450218
_Ciga,1403633618311577682,1403634763218026537
XMasi,1403633627799097435,1403634799783968798
chirimoyalol,1403633635353038868,1403634838921150495
LuisitoLapapa,1403633644815257735,1403634873914097757
Carsom23,1403632624420782112,1403640286902616064
OmaOma03,1403742278333235415,1403742686258794598
SheronMan,1403729974841573537,1403731747698642975
Duartyh,1403799061890601123,1403799160121196595
HoyoTWO,1403799050192421095,1403799221680734368
roiklag,1404568491964502016,1404568596981612574
eltriplesh,1405626603089952941,1405626696941437068
